Disease,All_Symptoms
disease1,"itching,skin_rash,nodal_skin_eruptions,dischromic _patches"
disease1,"skin_rash,nodal_skin_eruptions,dischromic _patches"
disease1,"itching,nodal_skin_eruptions,dischromic _patches"
disease1,"itching,skin_rash,dischromic _patches"
disease1,"itching,skin_rash,nodal_skin_eruptions"
disease1,"skin_rash,nodal_skin_eruptions,dischromic _patches"
disease1,"itching,nodal_skin_eruptions,dischromic _patches"
disease1,"itching,skin_rash,dischromic _patches"
disease1,"itching,skin_rash,nodal_skin_eruptions"
disease1,"itching,skin_rash,nodal_skin_eruptions,dischromic _patches"
disease2,"continuous_sneezing,shivering,chills,watering_from_eyes"
disease2,"shivering,chills,watering_from_eyes"
disease2,"continuous_sneezing,chills,watering_from_eyes"
disease2,"continuous_sneezing,shivering,watering_from_eyes"
disease2,"continuous_sneezing,shivering,chills"
disease2,"shivering,chills,watering_from_eyes"
disease2,"continuous_sneezing,chills,watering_from_eyes"
disease2,"continuous_sneezing,shivering,watering_from_eyes"
disease2,"continuous_sneezing,shivering,chills"
disease2,"continuous_sneezing,shivering,chills,watering_from_eyes"
disease3,"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain"
disease3,"stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain"
disease3,"stomach_pain,acidity,vomiting,cough,chest_pain"
disease3,"stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain"
disease3,"stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain"
disease3,"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough"
disease3,"acidity,ulcers_on_tongue,vomiting,cough,chest_pain"
disease3,"stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain"
disease3,"stomach_pain,acidity,vomiting,cough,chest_pain"
disease3,"stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain"
disease4,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
disease4,"vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
disease4,"itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
disease4,"itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
disease4,"itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
disease4,"itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes"
disease4,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes"
disease4,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain"
disease4,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
disease4,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes"
disease5,"itching,skin_rash,stomach_pain,burning_micturition,spotting_ urination"
disease5,"itching,stomach_pain,burning_micturition,spotting_ urination"
disease5,"itching,skin_rash,burning_micturition,spotting_ urination"
disease5,"itching,skin_rash,stomach_pain,spotting_ urination"
disease5,"itching,skin_rash,stomach_pain,burning_micturition"
disease5,"skin_rash,stomach_pain,burning_micturition,spotting_ urination"
